ID,Programme,Wave,Depends on,Purpose,Mandatory exit gate
I12,Core,Local Connection Authority,"I08,I10","Unify Ollama, LM Studio, Jan, Bridge and Companion transport/auth/pairing/provenance.",Authenticated local runtimes and offline/locality truth pass or unsupported claims are removed.
I13,Core,Voice and AI Language Modes,"I10,I12","Separate dictate, spoken reply and optional voice conversation with permission/action truth.",Mic is action-triggered; dictate never auto-sends; unsupported paths have typed fallback.
I14,Core,"Create, Forge and Project Continuity","I04,I05,I10,I11",Complete Create/Forge/project continuity and truthfully gate image/video modes.,Website mode works end-to-end; Forge remains review-before-Apply; unsupported generation is labelled accurately.
I15,Core,Core Creator Capture and Local Media Lifecycle,"I07,I12,I14",Move Creator Capture into Core and make City a capture adapter.,"Core owns capture/share; media export, restore and deletion pass; uncertified adapters remain hidden."
I16,Core,"Workflow, Action and Approval State Machine","I05,I09,I10",Replace overlapping approval authorities with one explicit state machine.,Launch Automations remains Plan/Simulate/Review; no local approval implies external execution.
I17,Core,Billing Command Ledger and Dodo Lifecycle,"I08,I09",Enforce idempotent account-level checkout/trial/subscription transitions.,Duplicate/out-of-order operations fail safely; Max is $49.99 after live catalogue match.
I18,Core,"Referrals, EONKEYS, Sharing and Creator Distribution","I09,I15,I17","Unify reviewed sharing, referrals and non-financial EONKEY milestones.","No auto-post/deceptive reward; attribution, reversals and unlock consumption pass."
I19,Core,"Activation, Onboarding, Continue and Retention","I02,I04,I09,I14",Deliver first useful result without forced sign-in and truthful setup/continuation.,All canonical records resume; no marketing consent is implied.
I20,Core,"Trust, Support, Legal, Status and Incident Operations","I07,I17,I19","Create real support/privacy/security cases, policies, status and incident ownership.","Case IDs, owner workflows, rights requests, refund/cancellation and incident drills pass."
I21,Core,Source-Controlled Cloudflare Pages and D1 Migration Authority,"I00,I02,I17,I20","Bind configuration, Functions and ordered migrations to the release candidate.",No request-time DDL; schema/version/rollback/restore proof passes.
I22,Core,"Single Service Worker, Offline Integrity and Origin Storage Authority","I07,I21",Generate one worker and govern optional offline packs separately from protected data.,Install/update/rollback/repair passes; protected data is never evicted as cache.
I23,Core,"Observability, Security Controls and Release Health","I20,I21,I22","Create privacy-safe telemetry, SLOs, alerts, WAF/rate-limit receipts and rollback health.",No prompts/keys/content in telemetry; alerts and rollback fire correctly in drills.
I24,Core,"Locale, Accessibility and Device Certification Authority","I02,I13,I19",Publish only complete languages and certify WCAG 2.2 AA/device interaction.,English complete; uncertified languages hidden; keyboard/NVDA/zoom/touch/RTL/PWA gates pass.
I25,Core,"Performance, Resilience and Owner Lab","I03,I22,I23,I24",Enforce Core bundle/CWV/endurance budgets and isolate owner certification tools.,Core initial bundle excludes City; p75 budgets and memory/disposal tests pass.
C01,City/Integration,W802B Delta Audit and City Ownership Freeze,I00,"Audit the 344-file a6cf226→W802B delta, active import graph, storage keys, routes, tests, assets and ownership. No product behavior changes.",One current City/Expanse authority; exact red/amber/green map; every W767–W802 system dispositioned; no parallel shared-file ambiguity.
C02,City/Integration,City/Core Boundary Extraction and Import Inversion,"I03,I04,I05,I16,C01","Move generic outcome, mission, capture, capability and work-state contracts out of assets/js/city; replace City reads of Core implementations with bounded projections.","13/13 primary Core routes reach zero City implementation modules; City runtime no longer imports AI executor, provider settings, billing stores, project stores or automation stores directly."
C03,City/Integration,Flagship EONCITY Navigation and Open World Entry,C02,Promote Signal Frontier as the flagship EONCITY mode without creating a second public route or runtime.,City Menu opens with a primary “Open World — Signal Frontier” card; Command Hub has a persistent Open World launcher; returning users may explicitly Resume Signal Frontier; entry review/cancel remains mandatory.
C04,City/Integration,Canonical City Work Handoff and Return Protocol,"I04,I05,C02",Replace station-specific and legacy handoffs with one versioned CityWorkHandoff envelope and safe return receipt.,Every Command Hub/Expanse productive action opens the maintained Core destination with sender/receiver/digest/expiry/consumedAt/result/error; stale or duplicate handoffs fail safely.
C05,City/Integration,"Verified Outcome, Mission and Progression Bridge","I09,I16,C04",Create neutral CoreOutcome and CityProgressReceipt authorities; City consumes only policy-approved verified outcomes.,"Create/Forge/Projects/Library/Local AI/Automation/Share outcomes can advance missions once; no route opening, local activity or unverified claim awards XP, unlocks or completion."
C06,City/Integration,"City, Expanse and Frontier Data Survival","I07,C05","Inventory and migrate Command Hub resume, missions, productive station state, Signal Frontier, My Frontier and Storm Sector state.",Backup/restore/migration/deletion receipts cover all active City keys and stores; no private Core content is copied into gameplay state; rollback works.
C07,City/Integration,"Capability, Billing, EONKEY, Share and Capture Integration","I09,I15,I17,I18,C05",Use Core capability/billing/share/capture authorities through City adapters only.,Plans panel shows server truth; revocation/downgrade is safe; EONKEYS unlock only approved cosmetic/feature items; Creator Capture is Core-owned; no auto-post or duplicate referral/XP.
C08,City/Integration,Command Hub and Living Nexus Convergence,"C02,C04,C05,C07","Re-audit all ten stations, three discoveries, menu hierarchy, central Nexus, monitors, Transit, NPC roles and valid destinations against the new Core authorities.",Every object is clearly interactive or declared decorative; every station opens a valid maintained surface; Nexus is truthful and privacy-projected; no dead labels/buttons/routes.
C09,City/Integration,Signal Frontier Flagship Experience Summit,"C03,C05,C06,C08","Polish the first minute, companion continuity, mission board, map/GPS, transit, living events, side/productive missions, restoration, audio, capture moments and return.",Signal Frontier is visibly the flagship EONCITY experience; all W802A Signal/Productive/Living/Share cases pass; no state loss or fabricated progress.
C10,City/Integration,My Frontier and Storm Sector Release Governance,"C05,C06,C07,C09",Complete My Frontier continuity and keep Storm Sector behind exact package/performance/owner gates until certified.,My Frontier construction/resident/theme/reload cases pass; Storm Sector is certified against exact digest or remains hidden/locked; no source-complete claim becomes public certification.
C11,City/Integration,"City Accessibility, Mobile, Offline, Performance and Resilience","I22,I23,I24,I25,C08,C09,C10","Certify keyboard/touch/gamepad/mobile landscape, screen-reader/zoom, Lite/Balanced/Cinematic, optional packs, context loss, memory and transition disposal.",No critical accessibility issue; Core bundle remains City-free; Expanse/Storm assets load only after explicit entry; 4-hour endurance and transition soak show no material leak.
C12,City/Integration,EONCITY 9.5 Quality Summit and Integration Freeze,C01-C11,"Execute the complete visual/gameplay/cross-platform scorecard, repair rounds and owner acceptance before release freeze.",Every City category ≥9.0; overall ≥9.5; zero first-party console/network errors; all required evidence bound to one immutable candidate; exact source ZIP/Git bundle/checksums produced.
V01,Certification,Clean Source and Deterministic Build,"I00-I25,C01-C12",Fresh clone/worktree; exact Node 22/npm 11.12.1; locked install; lint/syntax/current tests/secret/SBOM/build manifests; two production builds.,Zero blocking failures; deterministic authority/digests; no untracked production outputs.
V02,Certification,Cross-Browser Core Product Journeys,V01,"Headed Chrome, Edge, Firefox and WebKit plus mobile emulation for A14 primary/negative/error/recovery journeys.",All required Core journeys pass with zero first-party console/network errors.
V03,Certification,Real Hosted AI and API-Key Certification,"V01,V02",Owner-supplied provider keys; real discovery/result/stream/cancel/error/rate-limit/search/citation/cost/key-removal proof.,Each public provider is certified or hidden/not certified.
V04,Certification,Local AI and Local Media Certification,"V01,V02",Owner Windows device; Ollama/LM Studio/Jan/Bridge/Companion/offline/locality/media export/delete.,Real local results and clean reconnect/shutdown/low-memory behavior; no key leakage.
V05,Certification,"Commerce, Data, Support and Hostile Scenarios",V02-V04,"A12 hostile chains plus duplicate checkout, caps, migration, deletion, support/refund/privacy, webhook ordering and entitlement delivery.","No silent loss, duplicate charge/session, stranded case or false capability."
V06,Certification,"Accessibility, Language, Core Performance and Endurance",V02,"WCAG 2.2 AA, NVDA/keyboard/zoom/RTL/touch; Lighthouse medians; Core endurance and route disposal.",No critical a11y issue; published languages complete; Core budgets and endurance pass.
V07,Certification,EONCITY/Core Integration Certification,V01-V06,Execute A15 INT-01–INT-24 against the exact built candidate.,"24/24 pass; zero reverse dependency, state-loss, privacy, entitlement or handoff failure."
V08,Certification,EONCITY/Expanse Owner Playthrough and 9.5 Summit,V07,"Execute A14 CITY cases, all 35 W802A owner cases, visual repair rounds, profile performance and scorecard.",All required City/Expanse cases pass; each category ≥9.0; overall ≥9.5; exact candidate receipt.
V09,Certification,"Cloudflare Preview, Security, Migration and Rollback",V01-V08,Deploy exact candidate to Preview; verify bindings/migrations/CSP/cookies/webhooks/observability/offline; rehearse static/Functions/config/feature rollback.,Preview digest equals candidate; rollback restores healthy release without schema/data loss.
V10,Certification,"Production Canary, Owner Acceptance and Seven-Day Stabilization",V09,Explicit owner authorization; gated production deploy; canary; daily health/data/billing/provider/City review; incident log and final enablement.,"No Sev-1/Sev-2, data loss, duplicate billing or unresolved critical defect; owner signs exact deployment ID and GO board."
