bundle,file,category,role,district,load_tier,status,bytes,vertices,triangles,skins,animations,animation_names,sha256
B09-B15,eoncity_portal_gate.glb,static,District portal gate,Transit / district entries,Tier 3,READY,657264,28982,24138,0,0,,d0bb55b17f9617d72545e3d40a5f11c15aa19c60b81f3b9266521018e35c0053
B09-B15,eoncity_street_lamp.glb,static,Instanced street light,All exterior districts,Tier 2,READY — instance and LOD,211676,11750,9990,0,0,,7cde1e3c9b195d5865a8fe37e7ab6028740709e1b40b4047167a71df83dec5ee
B09-B15,eoncity_trade_dome_entrance.glb,static,Trade Dome entrance,Trade Dome,Tier 3,READY,728996,31864,24084,0,0,,055c11ee8c730ad302ce804d38f56368b5c69d110def6c6fe20a009ef04827b7
B09-B15,eoncity_transit_core.glb,static,Transit core,Transit network,Tier 3,READY,627544,34755,25116,0,0,,7f75ec20bcf5aab2738608cd19b5e4bf2a391a4d484cad58c51243a58489901a
B09-B15,eoncity_holo_interface_operator_6clips.glb,character,Command Deck / Agent Theatre operator,Agent Theatre / Forge,Tier 2,READY,829884,45717,73956,1,6,Idle_11|running|Talk_with_Hands_Open|walking_man|Wave_One_Hand|open_door,f0b0c25f89ac57e9131a97d3002ab39b4bd390b9005abbd511d855782ecc3be4
B09-B15,eoncity_navigator_archive_vault_6clips.glb,character,Archive and wayfinding guide,Archive Canopy,Tier 2,READY,802060,45977,76622,1,6,Idle_12|running|Talk_with_Hands_Open|walking_man|Wave_One_Hand|open_door,c15c8c99528cc710e5217238bac6d1f31aed2852a2ab041eeba1b1ab2d017926
B09-B15,eoncity_vault_steward_6clips.glb,character,Primary Vault steward,Vault Station,Tier 2,READY,837640,46270,76050,1,6,Checkout_Gesture|Idle_11|Idle_15|running|Talk_with_Hands_Open|walking_man,017befdd28051ec94d0cca1bec85bc539bc952fc46ac80783d98cb4aa4ac5203
B09-B15,eoncity_vault_steward_male_6clips.glb,character,Vault alternate / shift variant,Vault Station,Tier 3,READY — load one steward at a time,937032,47859,75670,1,6,Idle_11|Idle_15|running|Talk_with_Hands_Open|walking_man|open_door,27faedc866a9ccc646cdebb98f8f07291a3fcc304ae092141ce057ab141db4b3
FINAL-ANIMATED-DELTA,security_sentinel_6clips.glb,rigged_character,Security and patrol NPC,Vault / portals / district patrol,Tier 2,READY — visual/deformation certification pending,818680,43630,73252,1,6,Hand_on_Hip_Gesture|Idle|Lower_Weapon_Look_Raise|Running|Walking|Wave_One_Hand,26d14b127a0abb4b2fcb89bba41d0e196ee9e1bde97f99c7e3d83e3e7485f144
FINAL-ANIMATED-DELTA,forge_device_lab_specialist_6clips.glb,rigged_character,Forge and Device Lab specialist,Forge Basilica / Device Lab,Tier 2,READY — visual/deformation certification pending,865016,47085,74998,1,6,Idle_12|Running|Talk_with_Hands_Open|Walking|Wave_One_Hand|Open_Door,addd169329d54a6533e48b2ee96beacfb70c3852794d1c688912902241e3f3c7
FINAL-ANIMATED-DELTA,citizen_variant_6clips.glb,rigged_character,Ambient citizen variant,Creator Atrium / streets / Trade Dome,Tier 3,READY — use low population counts and LOD,852124,46047,75357,1,6,Checkout_Gesture|Discuss_While_Moving|Idle_3|Running|Walking|Wave_One_Hand,10414ac70a6e4cd5972311304c4277d73b52f14a0eb44b2c690fbd808750eef6
FINAL-ANIMATED-DELTA,eon_x1_worker_9clips.glb,rigged_character,Forge worker and maintenance NPC,Forge Basilica / Device Lab,Tier 2,READY — replaces eight-clip master,732836,11977,10368,1,9,Agree_Gesture|Carry_Heavy_Object_Walk|Female_Bend_Over_Pick_Up_Inspect|Idle_12|Lower_Weapon_Look_Raise|Running|Step_Forward_and_Push|Walking|Wave_One_Hand,0cca7479c8143df9f94a5584d7464689eefebd7bb5881edde45b7c944d5620d6
